label,RMSE,MAE,NRMSE,MAPE(%),n
qb fast vs ref [ALL depths],1.3939269464337123,0.9725091866666666,0.0438401901188239,7.264248263853518,300
qb corrected vs ref [ALL depths],1.4006974484557992,0.7503668673115927,0.044053128176020924,5.435181514058151,300
qb fast vs ref [Shallow (0–2.0m)],0.5747580439544198,0.37739920270270266,0.054769114739537134,10.489815714759866,74
qb corrected vs ref [Shallow (0–2.0m)],0.5054847189632522,0.31133326850266696,0.04816800889206268,8.469034904641726,74
qb fast vs ref [Deep (>2.0m)],1.5719668584595625,1.1673682079646017,0.056450850791980894,6.208089010016924,226
qb corrected vs ref [Deep (>2.0m)],1.5876708428054602,0.894121231523365,0.0570147960637143,4.441795890592732,226
