scenario_id,ID,v_pen,S,depth,qb_fast,qs_fast,qb_ref,qs_ref,res_qb,res_qs,res_qb_norm,res_qs_norm,is_shallow
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.2,16.94871,23.130812,16.324775,13.768656,-0.623935,-9.362156,-0.04776164976924434,-0.3208755237174061,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.3,17.339056,23.304954,16.69483,13.888433,-0.644226,-9.416521,-0.0493149071365466,-0.32273881224270906,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.4,17.667376,23.899298,17.068909,13.914163,-0.598468,-9.985136,-0.04581217436768272,-0.342227339876576,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.5,18.123855,24.574005,17.494473,14.02111,-0.629382,-10.552895,-0.04817861260398365,-0.3616865292417468,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.6,18.589062,25.201119,17.844427,14.202228,-0.744635,-10.998891,-0.057001123636150015,-0.3769724527059434,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.7,18.982687,25.687931,18.153434,14.363688,-0.829253,-11.324243,-0.0634785536251295,-0.3881234625152763,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.8,19.404508,26.374348,18.581229,14.638928,-0.823278,-11.73542,-0.06302117287653992,-0.402216010771848,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,3.9,19.760005,26.82879,18.974965,15.213151,-0.78504,-11.615639,-0.060094089183725184,-0.39811067530142913,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.0,19.911775,27.092845,19.430668,15.666824,-0.481108,-11.426021,-0.03682837442551164,-0.3916117689537623,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.1,20.223817,27.552579,19.726547,15.756063,-0.49727,-11.796515,-0.03806556064454171,-0.40430996115267,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.2,20.532436,28.055049,20.108697,15.84962,-0.423738,-12.205429,-0.03243675374825913,-0.41832494807506043,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.3,20.829595,28.308527,20.496009,15.959073,-0.333587,-12.349454,-0.025535777703723804,-0.42326121460420174,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.4,21.156532,28.741833,20.5836,15.874666,-0.572933,-12.867167,-0.04385749362873131,-0.44100514346100667,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.5,21.454262,28.955843,20.831048,15.906298,-0.623214,-13.049546,-0.04770645788309655,-0.44725594265085744,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.6,21.688795,29.072698,21.212837,16.207339,-0.475957,-12.865358,-0.03643407011823384,-0.4409431423768115,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.7,21.954542,29.038363,21.499689,16.393557,-0.454853,-12.644806,-0.03481857834949169,-0.4333840140620385,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.8,22.237263,28.944327,21.98941,16.58124,-0.247853,-12.363087,-0.018972918942288086,-0.4237284676616,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,4.9,22.501732,28.833444,22.390521,16.674942,-0.11121,-12.158503,-0.008513023104710688,-0.4167166214432501,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.0,22.795881,28.79533,22.494606,16.863602,-0.301274,-11.931729,-0.023062247305535542,-0.4089442423015769,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.1,23.142855,28.927958,22.711022,16.792427,-0.431833,-12.135531,-0.03305641854488383,-0.4159292865034311,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.2,23.540916,28.70528,23.088878,17.375864,-0.452038,-11.329416,-0.03460309269136957,-0.38830076025355265,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.3,23.864828,28.702352,23.369981,17.413514,-0.494848,-11.288838,-0.0378801587745695,-0.3869100029321189,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.4,23.785651,28.606613,23.875472,17.820365,0.089821,-10.786248,0.00687571484837891,-0.36968439491350324,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.5,24.179013,28.587158,24.110694,17.665032,-0.068319,-10.922126,-0.005229756546090545,-0.3743414337848565,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.6,24.584069,28.831347,24.751761,17.565997,0.167692,-11.26535,0.012836668199578677,-0.38610498277425415,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.7,24.808797,28.658205,25.102917,17.819605,0.29412,-10.8386,0.022514615192496246,-0.37147869052422083,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.8,25.149757,28.456406,25.436875,17.924174,0.287118,-10.532231,0.02197861853950475,-0.3609782979516363,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,5.9,25.193998,28.068631,25.669899,17.670641,0.475902,-10.39799,0.03642985991887443,-0.35637736509179624,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.0,25.865725,28.302891,25.650551,17.63575,-0.215174,-10.667142,-0.016471371581089987,-0.36560219417599304,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.1,26.319846,28.125755,25.601139,17.530047,-0.718707,-10.595708,-0.05501635910904868,-0.36315388823436706,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.2,26.824646,28.225147,25.801253,17.469845,-1.023393,-10.755303,-0.07833979187302567,-0.36862379593593486,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.3,27.061152,28.224637,26.097851,17.047858,-0.963301,-11.176779,-0.07373980460202238,-0.38306932880617517,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.4,27.4774,27.989965,26.263132,17.010222,-1.214268,-10.979743,-0.09295109737713188,-0.3763161803122617,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.5,27.650695,27.611029,26.599125,17.273121,-1.05157,-10.337908,-0.0804967152793869,-0.3543181339471765,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.6,27.554922,27.172575,27.016777,17.117213,-0.538145,-10.055362,-0.041194504259369956,-0.34463424321471503,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.7,27.391059,26.80028,27.496875,17.357656,0.105816,-9.442623,0.008100117371172251,-0.3236334237958675,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.8,27.558197,26.398604,27.485821,17.288237,-0.072376,-9.110367,-0.005540316160655883,-0.3122457885109769,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,6.9,27.763426,26.118327,27.697349,17.300621,-0.066077,-8.817706,-0.005058133510385469,-0.3022152195216693,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.0,28.166949,26.242872,27.789965,17.226995,-0.376984,-9.015877,-0.028857778096450442,-0.3090072686405477,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.1,28.304199,25.608483,28.20021,17.579018,-0.103989,-8.029465,-0.007960262203360846,-0.27519930099921236,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.2,29.10486,25.278778,28.36121,17.74952,-0.74365,-7.529258,-0.05692572279307709,-0.2580553671561838,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.3,29.112525,25.043035,28.467188,17.374056,-0.645336,-7.668979,-0.04939987661452726,-0.2628441197735638,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.4,29.408004,24.93071,28.966775,17.717812,-0.441229,-7.212897,-0.033775673693628196,-0.24721251198919425,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.5,29.971301,25.150815,29.152086,17.793235,-0.819216,-7.35758,-0.06271023051657829,-0.25217133059871166,0
